Valeur fonciere,Nombre pieces principales,Surface reelle bati,lat,long
86090.0,2.0,26.0,45.3424402,5.8128776
86090.0,2.0,26.0,45.3424402,5.8128776
167200.0,2.0,47.0,45.2486345,5.6663002
165000.0,2.0,58.0,45.1905261,5.7292822
140000.0,4.0,55.0,45.182693,5.7313837
180800.0,4.0,80.0,45.176233,5.7262066
262000.0,4.0,89.0,45.3646947,5.595774
126550.0,2.0,43.0,45.4323114,6.0198786
97000.0,3.0,70.0,45.0956051,5.7451857
116000.0,2.0,45.0,45.1679996,5.7284425
156090.0,3.0,66.0,45.3693658,5.5841596
208000.0,3.0,94.0,45.3653576,5.5875571
208000.0,1.0,42.0,45.3653576,5.5875571
163210.0,2.0,52.0,45.3685707,5.5899951
53500.0,1.0,18.0,45.1645082,5.7261915
111000.0,1.0,58.0,45.1945094,5.7277424
220000.0,4.0,92.0,45.2104616,5.7123595
148050.0,2.0,47.0,45.2344853,5.8813908
153000.0,4.0,83.0,45.1679584,5.7254461
138400.0,3.0,68.0,45.2148076,5.6932949
187000.0,4.0,79.0,45.2105844,5.7024616
220000.0,3.0,65.0,45.2035843,5.8300544
200000.0,1.0,40.0,45.1908384,5.724564689228008
180000.0,3.0,60.0,45.0520593,5.7829396
185000.0,3.0,63.0,45.190925899999996,5.729349143839054
345000.0,5.0,110.0,45.3634866,5.5938676
210000.0,3.0,66.0,45.2115586,5.6997988
151700.0,4.0,85.0,45.1723528,5.7372733
96000.0,1.0,28.0,45.1722336,5.7246507
113500.0,2.0,30.0,45.3031446,5.954996
160000.0,4.0,81.0,45.2378958,5.8856739
53000.0,1.0,21.0,45.123407,5.8764798
163000.0,2.0,82.0,45.1815912,5.7274774
68590.0,2.0,30.0,45.3433645,5.8145667
107000.0,2.0,57.0,45.3670408,5.594700602500668
370400.0,4.0,116.0,45.2452852,5.6719066
162640.0,4.0,66.0,45.3938851,5.7283744
53500.0,1.0,14.0,45.1051232,5.8759543
53500.0,1.0,14.0,45.1051232,5.8759543
76500.0,1.0,20.0,45.1821028,5.7289651
93980.0,1.0,36.0,45.2349597,5.8825835
123000.0,2.0,61.0,45.1761668,5.7296973
113500.0,1.0,39.0,45.1911554,5.7297733
196535.0,2.0,46.0,45.2009226,5.8309636
193550.0,3.0,69.0,45.3609471,5.5907401
190000.0,2.0,60.0,45.1875649,5.7289383
122000.0,4.0,81.0,45.1704245,5.7336004
232950.0,3.0,67.0,45.2433155,5.6860625
206270.0,3.0,62.0,45.3031446,5.954996
90000.0,1.0,50.0,45.36604835,5.589880492759237
250000.0,4.0,76.0,45.215205,5.858962
112000.0,1.0,22.0,45.2569884,5.9983742
132606.0,4.0,108.0,45.374252,6.0461106
104000.0,2.0,46.0,45.1299574,5.825238
202000.0,4.0,85.0,45.1672649,5.7263454
83000.0,1.0,22.0,45.1912927,5.7266541
435000.0,5.0,195.0,45.1925,5.7247013
310000.0,5.0,101.0,45.2414255,5.6860586
148000.0,2.0,44.0,45.19223,5.7278291
228250.0,3.0,64.0,45.4323114,6.0198786
53000.0,1.0,18.0,45.3661157,5.5938438
77000.0,3.0,62.0,45.1655238,5.7268058
66000.0,1.0,24.0,45.1943794,5.7186385
214350.0,3.0,68.0,45.2443146,5.6692071
111950.0,1.0,27.0,45.1776927,5.7261255
489600.0,5.0,155.0,45.1907917,5.7250254
132000.0,2.0,45.0,45.1833868,5.7326412
169000.0,3.0,73.0,45.3004438,5.6374969
132000.0,2.0,44.0,45.4323114,6.0198786
186000.0,4.0,80.0,45.074962,5.7276356816092875
299000.0,2.0,69.0,45.1884382,5.725411397598169
80000.0,2.0,47.0,45.3870745,5.734925
234000.0,4.0,84.0,45.2250497,5.8754933
195000.0,1.0,28.0,45.1917432,5.7305088
195000.0,1.0,28.0,45.1917432,5.7305088
195000.0,1.0,29.0,45.1917432,5.7305088
195000.0,1.0,28.0,45.1917432,5.7305088
195000.0,1.0,28.0,45.1917432,5.7305088
195000.0,1.0,28.0,45.1917432,5.7305088
195000.0,1.0,28.0,45.1917432,5.7305088
97150.0,2.0,47.0,45.3670408,5.594700602500668
378000.0,4.0,94.0,45.1762665,5.7297698
96000.0,3.0,62.0,45.30312,5.9549707
211400.0,3.0,62.0,45.3031446,5.954996
277350.0,3.0,85.0,45.2844234,5.8865794
129530.0,4.0,56.0,45.2145427,5.6957325
218500.0,3.0,100.0,45.3661157,5.5938438
283000.0,4.0,88.0,45.0743744,5.77069
242800.0,3.0,67.0,45.241656750000004,5.68168902002384
128000.0,1.0,28.0,45.190931,5.729113556342016
219221.0,3.0,67.0,45.25638645,5.661958441588469
187000.0,5.0,89.0,45.4341777,6.0223731
234000.0,5.0,98.0,45.1679319,5.734866
228280.0,2.0,61.0,45.1919482,5.7219843
156000.0,2.0,50.0,45.1862057,5.7287715403026525
102000.0,4.0,68.0,45.2596426,5.9057179
45000.0,1.0,19.0,45.1679996,5.7284425
192700.0,3.0,86.0,45.3770955,5.6451928
388053.0,4.0,108.0,45.2453181,5.671542
70000.0,1.0,27.0,45.1887908,5.7276084
70000.0,1.0,20.0,45.1887908,5.7276084
151000.0,2.0,61.0,45.3975137,6.0786163
97000.0,2.0,50.0,45.3675518,5.5947083
181000.0,3.0,68.0,45.3256024,5.9321825
196000.0,4.0,81.0,45.1665806,5.7260727
217500.0,4.0,90.0,45.191290699999996,5.725882649758842
78500.0,1.0,29.0,45.1299574,5.825238
85000.0,1.0,28.0,45.1937962,5.7244903
145000.0,1.0,30.0,45.1884786,5.7277693
125000.0,3.0,55.0,45.3720689,5.5832065
58000.0,2.0,23.0,45.1142942,5.876736
72800.0,1.0,40.0,45.3691816,5.5836959
195500.0,2.0,54.0,45.3559411,5.5907327
45000.0,1.0,29.0,45.3657037,5.5937353
127000.0,1.0,34.0,45.1372025,5.8252244
127000.0,2.0,34.0,45.1372025,5.8252244
121960.0,3.0,64.0,45.3671439,5.5926229
52610.0,1.0,17.0,45.3440565,5.8164612
57000.0,1.0,25.0,45.1680155,5.7265648
