APP_Libelle_activite_etablissement,Synthese_eval_sanit,ods_type_activite,latitude,longitude,semaine,jour
Traiteur|Boucherie-Charcuterie,Satisfaisant,Autres,45.387884,4.285723,27,3
Boucherie-Charcuterie,Très satisfaisant,Autres,45.551,3.371571,19,4
Restaurant,A corriger de manière urgente,Autres,45.184642,5.725499,22,2
Restaurant,A améliorer,Autres,46.288715,2.659525,32,3
Traiteur|Boucherie-Charcuterie,Satisfaisant,Autres,46.382161,6.505309,4,4
Boucherie-Charcuterie,Satisfaisant,Autres,45.042243,3.889327,2,4
Restauration collective,Très satisfaisant,Autres,44.749087,4.749517,5,3
Restaurant,Satisfaisant,Autres,44.924871,4.910489,19,2
Producteur fermier,Très satisfaisant,Autres,44.759766,4.364918,48,1
Restaurant,Très satisfaisant,Autres,45.327549,4.554944,28,2
Producteur fermier,Très satisfaisant,Autres,45.29,3.585,38,5
Restaurant,Très satisfaisant,Autres,45.589067,2.74105,10,2
Producteur fermier,Très satisfaisant,Autres,45.757041,6.428945,28,3
Autres,Satisfaisant,Autres,45.769193,4.876732,18,4
Producteur fermier,Satisfaisant,Autres,45.757041,6.428945,26,4
Restauration collective,Très satisfaisant,Autres,45.967729,6.913856,17,2
Chaîne d'abattage de volaille/lagomorphe/petit gibier,Très satisfaisant,Abattoirs,45.231655,4.961979,36,3
Restaurant,Satisfaisant,Autres,45.521086,4.871226,17,2
Autres,Très satisfaisant,Autres,44.619535,4.390368,41,4
Restaurant,Satisfaisant,Autres,45.707616,6.10668,28,2
Restauration collective,Très satisfaisant,Autres,45.43845,5.771971,37,4
Poissonnerie,Très satisfaisant,Autres,44.60878,4.39424,29,5
Restauration collective,Très satisfaisant,Autres,45.77496,4.867336,19,2
Restauration collective,Très satisfaisant,Autres,45.775418,4.966073,39,2
Restaurant,Satisfaisant,Autres,45.754023,4.842489,2,5
Restauration collective,Satisfaisant,Autres,45.926348,5.292803,3,4
Restauration collective,Très satisfaisant,Autres,46.459335,5.078978,10,2
Libre service|Alimentation générale,Très satisfaisant,Autres,45.582474,5.445105,32,2
Restaurant,Satisfaisant,Autres,45.747598,4.838659,24,2
Restaurant,A améliorer,Autres,45.366668,4.193357,36,3
Boucherie-Charcuterie,Satisfaisant,Autres,44.972399,4.890573,35,1
Restauration collective,Satisfaisant,Autres,45.022912,5.772455,2,2
Producteur fermier,Satisfaisant,Autres,44.976401,3.898554,38,3
"VH, VSM, préparation viandes boucherie",Satisfaisant,Viandes et produits carnés,45.930167,4.222985,20,2
Restauration collective,Très satisfaisant,Autres,46.327769,6.063405,38,2
Restaurant,Satisfaisant,Autres,44.991447,3.865223,8,4
Restaurant,Satisfaisant,Autres,44.405175,4.393591,36,2
Libre service,Très satisfaisant,Autres,45.919838,6.090376,2,2
Restauration collective,Satisfaisant,Autres,45.15017,4.115005,42,4
Transformation de produits carnés,Satisfaisant,Viandes et produits carnés,45.930167,4.222985,20,2
Restaurant,Satisfaisant,Autres,46.086896,4.480821,48,2
Restaurant,Satisfaisant,Autres,44.607302,4.398215,35,4
Restaurant,Très satisfaisant,Autres,45.787324,4.808641,36,3
Restaurant,Satisfaisant,Autres,45.763573,4.855034,38,3
Producteur fermier,Très satisfaisant,Autres,46.459624,5.110036,6,1
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.596672,5.871323,6,4
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,45.613169,4.096477,26,1
Restaurant,Satisfaisant,Autres,45.756256,4.841713,5,3
Producteur fermier,Satisfaisant,Autres,45.068343,3.266447,36,5
Restaurant,Très satisfaisant,Autres,45.763149,4.876161,41,5
Libre service|Alimentation générale,Satisfaisant,Autres,45.756377,4.843008,3,3
Restauration collective,Satisfaisant,Autres,46.415453,2.411002,46,4
Producteur fermier,Satisfaisant,Autres,45.74334,5.249996,36,3
Autres,Satisfaisant,Autres,45.027381,5.299279,46,5
Restauration collective,Très satisfaisant,Autres,45.680582,4.965277,36,4
Restaurant,Satisfaisant,Autres,45.733581,4.863958,36,4
Producteur fermier,Très satisfaisant,Autres,45.544785,5.427774,7,3
Transformation de lait ou produits laitiers,Très satisfaisant,Lait et produits laitiers,44.947292,2.672726,18,4
Boucherie-Charcuterie,Très satisfaisant,Autres,44.306301,4.430585,5,2
Restauration collective,Très satisfaisant,Autres,45.892702,6.713636,48,4
Restaurant,Satisfaisant,Autres,44.675852,4.22138,36,4
Restaurant,Très satisfaisant,Autres,45.42298,4.394903,4,4
Restaurant,Satisfaisant,Autres,45.650859,4.445524,36,4
